key, value, date
Poland, 19, 1820
Poland, 366, 1830
Poland, 105, 1840
Poland, 1087, 1850
Poland, 1886, 1860
Poland, 11016, 1870
Poland, 42910, 1880
Poland, 107793, 1890
Poland, 0, 1900
Poland, 0, 1910
Poland, 224420, 1920
Poland, 26460, 1930
Poland, 7774, 1940
Poland, 6498, 1950
Poland, 55773, 1960
Poland, 33699, 1970
Poland, 63483, 1980
Poland, 172249, 1990
Poland, 117921, 2000
Poland, 7391, 2010
Poland, 6634, 2011
Poland, 6024, 2012
Poland, 6073, 2013
Portugal, 252, 1820
Portugal, 896, 1830
Portugal, 359, 1840
Portugal, 4218, 1850
Portugal, 4741, 1860
Portugal, 13990, 1870
Portugal, 15189, 1880
Portugal, 25874, 1890
Portugal, 65154, 1900
Portugal, 82489, 1910
Portugal, 44829, 1920
Portugal, 3518, 1930
Portugal, 6765, 1940
Portugal, 13928, 1950
Portugal, 70568, 1960
Portugal, 104754, 1970
Portugal, 42685, 1980
Portugal, 25497, 1990
Portugal, 11479, 2000
Portugal, 759, 2010
Portugal, 878, 2011
Portugal, 837, 2012
Portugal, 917, 2013
Romania, 0, 1820
Romania, 0, 1830
Romania, 0, 1840
Romania, 0, 1850
Romania, 0, 1860
Romania, 0, 1870
Romania, 5842, 1880
Romania, 6808, 1890
Romania, 57322, 1900
Romania, 13566, 1910
Romania, 67810, 1920
Romania, 5264, 1930
Romania, 1254, 1940
Romania, 914, 1950
Romania, 2339, 1960
Romania, 10774, 1970
Romania, 24753, 1980
Romania, 48136, 1990
Romania, 52154, 2000
Romania, 3735, 2010
Romania, 3679, 2011
Romania, 3477, 2012
Romania, 3475, 2013
Russia, 86, 1820
Russia, 280, 1830
Russia, 520, 1840
Russia, 423, 1850
Russia, 1667, 1860
Russia, 34977, 1870
Russia, 173081, 1880
Russia, 413382, 1890
Russia, 1501301, 1900
Russia, 1106998, 1910
Russia, 61604, 1920
Russia, 2473, 1930
Russia, 605, 1940
Russia, 453, 1950
Russia, 2329, 1960
Russia, 28132, 1970
Russia, 33311, 1980
Russia, 433427, 1990
Russia, 167152, 2000
Russia, 7502, 2010
Russia, 8548, 2011
Russia, 10114, 2012
Russia, 10154, 2013
Spain, 2866, 1820
Spain, 2016, 1830
Spain, 1917, 1840
Spain, 8803, 1850
Spain, 6970, 1860
Spain, 5571, 1870
Spain, 3999, 1880
Spain, 9189, 1890
Spain, 24818, 1900
Spain, 53262, 1910
Spain, 47109, 1920
Spain, 3669, 1930
Spain, 2774, 1940
Spain, 6880, 1950
Spain, 40793, 1960
Spain, 41718, 1970
Spain, 22783, 1980
Spain, 18443, 1990
Spain, 17695, 2000
Spain, 2040, 2010
Spain, 2319, 2011
Spain, 2316, 2012
Spain, 2970, 2013
Switzerland, 3148, 1820
Switzerland, 4430, 1830
Switzerland, 4819, 1840
Switzerland, 24423, 1850
Switzerland, 21124, 1860
Switzerland, 25212, 1870
Switzerland, 81151, 1880
Switzerland, 37020, 1890
Switzerland, 32541, 1900
Switzerland, 22839, 1910
Switzerland, 31772, 1920
Switzerland, 5990, 1930
Switzerland, 9904, 1940
Switzerland, 17577, 1950
Switzerland, 19193, 1960
Switzerland, 8536, 1970
Switzerland, 8316, 1980
Switzerland, 11768, 1990
Switzerland, 12173, 2000
Switzerland, 868, 2010
Switzerland, 861, 2011
Switzerland, 916, 2012
Switzerland, 1040, 2013
United Kingdom, 26336, 1820
United Kingdom, 74350, 1830
United Kingdom, 218572, 1840
United Kingdom, 445322, 1850
United Kingdom, 532956, 1860
United Kingdom, 578447, 1870
United Kingdom, 810900, 1880
United Kingdom, 328759, 1890
United Kingdom, 469518, 1900
United Kingdom, 371878, 1910
United Kingdom, 342762, 1920
United Kingdom, 61813, 1930
United Kingdom, 131794, 1940
United Kingdom, 195709, 1950
United Kingdom, 220213, 1960
United Kingdom, 133218, 1970
United Kingdom, 153644, 1980
United Kingdom, 156182, 1990
United Kingdom, 171979, 2000
United Kingdom, 14781, 2010
United Kingdom, 13443, 2011
United Kingdom, 13938, 2012
United Kingdom, 15321, 2013
Yugoslavia, 0, 1820
Yugoslavia, 0, 1830
Yugoslavia, 0, 1840
Yugoslavia, 0, 1850
Yugoslavia, 0, 1860
Yugoslavia, 0, 1870
Yugoslavia, 0, 1880
Yugoslavia, 0, 1890
Yugoslavia, 0, 1900
Yugoslavia, 0, 1910
Yugoslavia, 49215, 1920
Yugoslavia, 6920, 1930
Yugoslavia, 2039, 1940
Yugoslavia, 6966, 1950
Yugoslavia, 17990, 1960
Yugoslavia, 31862, 1970
Yugoslavia, 16267, 1980
Yugoslavia, 57039, 1990
Yugoslavia, 131831, 2000
Yugoslavia, 4772, 2010
Yugoslavia, 4611, 2011
Yugoslavia, 4488, 2012
Yugoslavia, 4445, 2013
Other Europe, 3, 1820
Other Europe, 40, 1830
Other Europe, 79, 1840
Other Europe, 14, 1850
Other Europe, 10, 1860
Other Europe, 626, 1870
Other Europe, 1070, 1880
Other Europe, 145, 1890
Other Europe, 514, 1900
Other Europe, 6527, 1910
Other Europe, 21330, 1920
Other Europe, 9068, 1930
Other Europe, 5387, 1940
Other Europe, 7231, 1950
Other Europe, 6814, 1960
Other Europe, 5242, 1970
Other Europe, 3447, 1980
Other Europe, 29087, 1990
Other Europe, 290871, 2000
Other Europe, 22608, 2010
Other Europe, 20316, 2011
Other Europe, 16865, 2012
Other Europe, 17839, 2013
Asia, 34, 1820
Asia, 55, 1830
Asia, 121, 1840
Asia, 36080, 1850
Asia, 54408, 1860
Asia, 134071, 1870
Asia, 71152, 1880
Asia, 61304, 1890
Asia, 300441, 1900
Asia, 269736, 1910
Asia, 126740, 1920
Asia, 19292, 1930
Asia, 34532, 1940
Asia, 135844, 1950
Asia, 358563, 1960
Asia, 1406526, 1970
Asia, 2391356, 1980
Asia, 2859899, 1990
Asia, 3470835, 2000
Asia, 410209, 2010
Asia, 438580, 2011
Asia, 416488, 2012
Asia, 389301, 2013
China, 3, 1820
China, 8, 1830
China, 32, 1840
China, 35933, 1850
China, 54028, 1860
China, 133139, 1870
China, 65797, 1880
China, 15268, 1890
China, 19884, 1900
China, 20916, 1910
China, 30648, 1920
China, 5874, 1930
China, 16072, 1940
China, 8836, 1950
China, 14060, 1960
China, 17627, 1970
